date,hour,day_of_week,month,is_weekend,is_holiday,season,temperature,rainfall,weather,promotion,local_event,previous_hour_customers,previous_day_customers,predicted_customers,actual_customers,walk_in_customers,online_reservations,takeaway_orders,delivery_orders,average_order_value,total_sales,kitchen_load,table_utilization,chef_count,waiter_count,cashier_count,cleaner_count,ingredient_chicken_kg,ingredient_rice_kg,ingredient_oil_l,ingredient_onion_kg,ingredient_tomato_kg,ingredient_cheese_kg,ingredient_milk_l,inventory_cost,supplier_delay_days,food_wastage_kg,customer_satisfaction,created_at,hour_sin,hour_cos,day_sin,day_cos,rolling_average_customers,moving_average_sales,customer_growth_rate,inventory_utilization,staff_efficiency,sales_per_customer
2024-01-01 00:00:00,0,0,1,False,True,Winter,14.7,1.58,Sunny,True,,20,80,28,31,12,4,7,8,445.48,14269.63,0.354,0.221,1,2,1,1,4.03,2.19,0.29,1.1,1.01,0.95,0.67,85.51,0.4,0.78,4.14,2024-01-01 00:00:00,0.0,1.0,0.0,1.0,31.0,14269.63,0.0,2.0,6.2,460.31
2024-01-01 00:00:00,1,0,1,False,True,Winter,12.8,0.73,Sunny,False,,31,80,5,9,3,1,1,4,425.81,3630.27,0.102,0.065,1,2,1,1,1.24,0.9,0.09,0.3,0.38,0.26,0.15,26.61,0.8,2.32,4.26,2024-01-01 01:00:00,0.25881904510252074,0.9659258262890683,0.0,1.0,20.0,8949.95,-0.7097,2.0,1.8,403.36
2024-01-01 00:00:00,2,0,1,False,True,Winter,15.8,0.45,Sunny,False,City Marathon,9,80,27,10,3,2,2,3,505.48,5374.12,0.113,0.083,1,2,1,1,0.85,0.7,0.08,0.4,0.35,0.25,0.27,20.56,0.5,2.5,4.01,2024-01-01 02:00:00,0.49999999999999994,0.8660254037844387,0.0,1.0,16.67,7758.01,0.1111,2.0,2.0,537.41
2024-01-01 00:00:00,3,0,1,False,True,Winter,15.7,0.09,Sunny,False,,10,80,34,31,13,5,5,8,366.03,10649.54,0.327,0.275,1,2,1,1,3.1,1.96,0.32,1.23,1.34,1.02,0.88,73.71,0.8,2.06,4.18,2024-01-01 03:00:00,0.7071067811865476,0.7071067811865476,0.0,1.0,20.25,8480.89,2.1,2.0,6.2,343.53
2024-01-01 00:00:00,4,0,1,False,True,Winter,16.5,1.77,Sunny,False,,31,80,67,47,19,7,8,13,287.54,13809.34,0.483,0.364,2,3,1,1,6.32,3.41,0.51,2.48,1.44,1.01,0.91,131.43,0.2,3.85,3.52,2024-01-01 04:00:00,0.8660254037844386,0.5000000000000001,0.0,1.0,25.6,9546.58,0.5161,2.0,6.7143,293.82
2024-01-01 00:00:00,5,0,1,False,True,Winter,18.3,1.95,Cloudy,False,,47,80,45,37,16,5,6,10,334.7,12239.47,0.413,0.325,2,3,1,1,2.98,3.16,0.4,1.36,1.04,0.99,1.08,76.54,0.5,2.43,3.94,2024-01-01 05:00:00,0.9659258262890683,0.25881904510252074,0.0,1.0,27.5,9995.39,-0.2128,2.0,5.2857,330.8
2024-01-01 00:00:00,6,0,1,False,True,Winter,18.4,3.94,Cloudy,False,University Graduation Week,37,80,37,37,14,6,6,11,426.3,15779.86,0.359,0.266,2,3,1,1,4.98,2.66,0.33,1.65,1.84,0.92,0.93,105.62,1.7,1.96,3.84,2024-01-01 06:00:00,1.0,6.123233995736766e-17,0.0,1.0,28.86,10821.75,0.0,2.0,5.2857,426.48
2024-01-01 00:00:00,7,0,1,False,True,Winter,21.1,1.2,Cloudy,False,,37,80,60,65,29,10,11,15,289.79,19110.28,0.588,0.552,2,4,2,1,7.2,4.64,0.81,2.29,2.75,1.8,1.89,165.06,0.2,0.73,4.04,2024-01-01 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,1.0,33.38,11857.81,0.7568,2.0,7.2222,294.0
2024-01-01 00:00:00,8,0,1,False,True,Winter,21.2,2.04,Cloudy,False,,65,80,79,71,28,11,16,16,496.1,35973.22,0.701,0.553,3,4,2,1,8.77,7.44,1.01,3.79,2.91,1.54,1.24,198.12,2.7,1.08,4.21,2024-01-01 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,1.0,37.56,14537.3,0.0923,2.0,7.1,506.67
2024-01-01 00:00:00,9,0,1,False,True,Winter,21.3,0.01,Sunny,False,,71,80,99,98,42,17,18,21,450.92,42332.4,1.0,0.761,3,6,2,2,11.66,10.04,1.24,4.61,2.68,2.68,1.86,264.7,0.3,1.37,3.7,2024-01-01 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,1.0,43.6,17316.81,0.3803,2.0,7.5385,431.96
2024-01-01 00:00:00,10,0,1,False,True,Winter,21.9,1.9,Cloudy,False,,98,80,140,124,52,19,26,27,347.39,39797.84,1.0,0.98,4,7,3,2,16.92,13.35,1.79,5.1,3.15,4.78,2.66,382.29,4.1,3.62,3.59,2024-01-01 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,1.0,50.91,19360.54,0.2653,2.0,7.75,320.95
2024-01-01 00:00:00,11,0,1,False,True,Winter,20.6,2.29,Cloudy,False,,124,80,106,112,47,22,24,19,416.81,43673.94,1.0,0.937,4,7,2,2,9.9,9.62,1.58,5.85,4.75,3.81,2.28,259.5,0.4,2.12,3.82,2024-01-01 11:00:00,0.258819045102521,-0.9659258262890682,0.0,1.0,56.0,21386.66,-0.0968,2.0,7.4667,389.95
2024-01-01 00:00:00,12,0,1,False,True,Winter,22.8,1.92,Cloudy,True,,112,80,273,261,116,49,48,48,388.65,94847.97,1.0,0.98,8,15,5,4,28.17,22.74,2.61,12.46,6.72,5.41,7.14,635.65,0.5,2.1,3.81,2024-01-01 12:00:00,1.2246467991473532e-16,-1.0,0.0,1.0,71.77,27037.53,1.3304,2.0,8.1562,363.4
2024-01-01 00:00:00,13,0,1,False,True,Winter,20.8,1.17,Cloudy,False,,261,80,199,185,79,34,42,30,403.91,72606.66,1.0,0.98,6,11,4,3,19.67,11.83,1.51,10.89,8.49,6.28,3.91,457.55,0.2,1.67,3.9,2024-01-01 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,1.0,79.86,30292.47,-0.2912,2.0,7.7083,392.47
